company_name,industry,funding_stage,employee_count,location,email
TechNova,SaaS,Series B,150,United States,contact@technova.com
FinSmart,Fintech,Seed,8,Canada,hello@finsmart
EduHive,EdTech,Series A,35,India,info@eduhive.org
RetailRocket,Retail,Series C,500,United Kingdom,sales@@retailrocket.co.uk
HealthWave,HealthTech,Series D,1200,United States,support@healthwave.com
EcoGreen,CleanTech,Series A,22,Germany,teamecogreen.de
BuildIt,Construction,Series B,80,United States,
GameFlare,Gaming,Seed,12,Japan,contact@gameflare.jp
FoodHub,FoodTech,Series C,250,United States,hello@foodhub.com
MediPro,HealthTech,Series B,65,Australia,contact@medipro.au
TravelEase,Travel,Series A,40,United States,support@travelease.com
MarketInsight,Analytics,Series D,330,United States,data@marketinsight
SafeNet,Cybersecurity,Series C,190,Canada,hello@safenet.ca
FarmFresh,AgriTech,Seed,5,United States,farmfresh.us
UrbanMobility,Mobility,Series B,120,Germany,contact@urbanmobility.de
